stadt,bundesland,anteil
Bad Neuenahr-Ahrweiler,Rheinland-Pfalz,37.3
Grimma,Sachsen,9.0
Wegberg,Nordrhein-Westfalen,22.6
Geislingen an der Steige,Baden-Württemberg,34.0
Königsbrunn,Bayern,60.0
Meißen,Sachsen,9.0
Leichlingen,Nordrhein-Westfalen,22.6
Kevelaer,Nordrhein-Westfalen,22.6
Zeitz,Sachsen-Anhalt,61.5
Emmendingen,Baden-Württemberg,34.0
Sundern,Nordrhein-Westfalen,22.6
Baunatal,Hessen,58.0
Olching,Bayern,60.0
Reinbek,Schleswig-Holstein,100.0
Mechernich,Nordrhein-Westfalen,22.6
Wetter (Ruhr),Nordrhein-Westfalen,22.6
Griesheim,Hessen,58.0
Arnstadt,Thüringen,63.9
Aschersleben,Sachsen-Anhalt,61.5
Geilenkirchen,Nordrhein-Westfalen,22.6
Rheinbach,Nordrhein-Westfalen,22.6
Overath,Nordrhein-Westfalen,22.6
Baesweiler,Nordrhein-Westfalen,22.6
Neustadt,Baden-Württemberg,34.0
Leimen,Baden-Württemberg,34.0
Wangen im Allgäu,Baden-Württemberg,34.0
Schloß Holte-Stukenbrock,Nordrhein-Westfalen,22.6
Lohne,Niedersachsen,64.0
Wiesloch,Baden-Württemberg,34.0
Hamminkeln,Nordrhein-Westfalen,22.6
Strausberg,Brandenburg,90.1
Lauf,Bayern,60.0
Neckarsulm,Baden-Württemberg,34.0
Heiligenhaus,Nordrhein-Westfalen,22.6
Sangerhausen,Sachsen-Anhalt,61.5
Hennigsdorf,Brandenburg,90.1
Ehingen an der Donau,Baden-Württemberg,34.0
Butzbach,Hessen,58.0
Nordenham,Niedersachsen,64.0
Hohen Neuendorf,Brandenburg,90.1
Ludwigsfelde,Brandenburg,90.1
Mühlacker,Baden-Württemberg,34.0
Heppenheim,Hessen,58.0
Selm,Nordrhein-Westfalen,22.6
Weiterstadt,Hessen,58.0
Pfaffenhofen,Bayern,60.0
Kulmbach,Bayern,60.0
Sankt Wendel,Saarland,20.0
Teltow,Brandenburg,90.1
Bad Honnef am Rhein,Nordrhein-Westfalen,22.6
Helmstedt,Niedersachsen,64.0
Bingen am Rhein,Rheinland-Pfalz,37.3
Achern,Baden-Württemberg,34.0
Zirndorf,Bayern,60.0
Roth,Bayern,60.0
Lennestadt,Nordrhein-Westfalen,22.6
Verl,Nordrhein-Westfalen,22.6
Lindau,Bayern,60.0
Lübbecke,Nordrhein-Westfalen,22.6
Rinteln,Niedersachsen,64.0
Brilon,Nordrhein-Westfalen,22.6
Staßfurt,Sachsen-Anhalt,61.5
Zittau,Sachsen,9.0
Plettenberg,Nordrhein-Westfalen,22.6
Groß-Gerau,Hessen,58.0
Schleswig,Schleswig-Holstein,100.0
Geretsried,Bayern,60.0
Rottweil,Baden-Württemberg,34.0
Friedrichsdorf,Hessen,58.0
Petershagen,Nordrhein-Westfalen,22.6
Pfungstadt,Hessen,58.0
Harsewinkel,Nordrhein-Westfalen,22.6
Wiehl,Nordrhein-Westfalen,22.6
Horb am Neckar,Baden-Württemberg,34.0
Rudolstadt,Thüringen,63.9
Salzkotten,Nordrhein-Westfalen,22.6
Norden,Niedersachsen,64.0
Weingarten,Baden-Württemberg,34.0
Obertshausen,Hessen,58.0
Idstein,Hessen,58.0
Ditzingen,Baden-Württemberg,34.0
Schmallenberg,Nordrhein-Westfalen,22.6
Delitzsch,Sachsen,9.0
Warstein,Nordrhein-Westfalen,22.6
Sprockhövel,Nordrhein-Westfalen,22.6
Bad Oldesloe,Schleswig-Holstein,100.0
Olpe,Nordrhein-Westfalen,22.6
Espelkamp,Nordrhein-Westfalen,22.6
Rathenow,Brandenburg,90.1
Senftenberg,Brandenburg,90.1
Meiningen,Thüringen,63.9
Waldshut-Tiengen,Baden-Württemberg,34.0
Sonneberg,Thüringen,63.9
Salzwedel,Sachsen-Anhalt,61.5
Calw,Baden-Württemberg,34.0
Korbach,Hessen,58.0
Starnberg,Bayern,60.0
Freudenstadt,Baden-Württemberg,34.0
Mosbach,Baden-Württemberg,34.0
Husum,Schleswig-Holstein,100.0
Westerstede,Niedersachsen,64.0
Burg,Sachsen-Anhalt,61.5
Weilheim,Bayern,60.0
Bad Kissingen,Bayern,60.0
Stadthagen,Niedersachsen,64.0
Apolda,Thüringen,63.9
Osterode,Niedersachsen,64.0
Kitzingen,Bayern,60.0
Heide,Schleswig-Holstein,100.0
